Sigla Empresa;Nombre;Fecha;Año;Número de Mes;Origen;Nombre;Ciudad Origen;Pais Origen;Destino;Nombre;Ciudad Destino;Pais Destino;Tráfico (N/I);Tipo Vuelo;Pasajeros;Carga + Correo (Kg)
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;CRU;CARURU;CARURU;COLOMBIA;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;N;T;1;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;EYP;EL YOPAL;EL YOPAL;COLOMBIA;7IY;HATO SAN JOSE;LA PRIMAVERA;COLOMBIA;N;T;4;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;EYP;EL YOPAL;EL YOPAL;COLOMBIA;EYP;EL YOPAL;EL YOPAL;COLOMBIA;N;T;0;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;EYP;EL YOPAL;EL YOPAL;COLOMBIA;ORC;OROCUE;OROCUE;COLOMBIA;N;T;2;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;EYP;EL YOPAL;EL YOPAL;COLOMBIA;PIM;LA PRIMAVERA;LA PRIMAVERA;COLOMBIA;N;T;1;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;EYP;EL YOPAL;EL YOPAL;COLOMBIA;RAV;CRAVO NORTE;CRAVO NORTE;COLOMBIA;N;T;4;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;EYP;EL YOPAL;EL YOPAL;COLOMBIA;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;N;T;0;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;HTZ;HATO COROZAL;HATO COROZAL;COLOMBIA;AUC;ARAUCA - SANTIAGO PEREZ QUIROZ;ARAUCA - MUNICIPIO;COLOMBIA;N;T;2;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;HTZ;HATO COROZAL;HATO COROZAL;COLOMBIA;EYP;EL YOPAL;EL YOPAL;COLOMBIA;N;T;0;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;IDA;CESAR GAVIRIA TRUJILLO;PUERTO INIRIDA;COLOMBIA;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;N;T;5;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;LCH;LA CHORRERA - VIRGILIO BARCO VARGAS;LA CHORRERA;COLOMBIA;A06;EL ENCANTO;EL ENCANTO;COLOMBIA;N;T;1;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;LCH;LA CHORRERA - VIRGILIO BARCO VARGAS;LA CHORRERA;COLOMBIA;SJE;SAN JOSE DEL GUAVIARE- JORGE E GONZ;SAN JOSE DEL GUAVIARE;COLOMBIA;N;T;4;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;LMC;LA MACARENA - META;LA MACARENA;COLOMBIA;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;N;T;19;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;LPD;LA PEDRERA;LA PEDRERA;COLOMBIA;TAR;TARAIRA;TARAIRA;COLOMBIA;N;T;1;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;MAP;MAPIRIPAN;MAPIRIPAN;COLOMBIA;SJE;SAN JOSE DEL GUAVIARE- JORGE E GONZ;SAN JOSE DEL GUAVIARE;COLOMBIA;N;T;0;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;MFS;MIRAFLORES;MIRAFLORES - GUAVIARE;COLOMBIA;CRU;CARURU;CARURU;COLOMBIA;N;T;4;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;MFS;MIRAFLORES;MIRAFLORES - GUAVIARE;COLOMBIA;IDA;CESAR GAVIRIA TRUJILLO;PUERTO INIRIDA;COLOMBIA;N;T;0;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;MFS;MIRAFLORES;MIRAFLORES - GUAVIARE;COLOMBIA;SJE;SAN JOSE DEL GUAVIARE- JORGE E GONZ;SAN JOSE DEL GUAVIARE;COLOMBIA;N;T;31;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;MIT;WACARICUARA;MITU;COLOMBIA;MYY;YAVARATE;MITU;COLOMBIA;N;T;1;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;MVP;MITU;MITU;COLOMBIA;SJE;SAN JOSE DEL GUAVIARE- JORGE E GONZ;SAN JOSE DEL GUAVIARE;COLOMBIA;N;T;3;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;MYY;YAVARATE;MITU;COLOMBIA;CRU;CARURU;CARURU;COLOMBIA;N;T;1;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;ORC;OROCUE;OROCUE;COLOMBIA;EYP;EL YOPAL;EL YOPAL;COLOMBIA;N;T;3;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;PIM;LA PRIMAVERA;LA PRIMAVERA;COLOMBIA;EYP;EL YOPAL;EL YOPAL;COLOMBIA;N;T;4;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;PUR;PUERTO ARICA;LETICIA;COLOMBIA;A13;MIRITI PARANA;MIRITI-PARANA;COLOMBIA;N;T;1;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;RAV;CRAVO NORTE;CRAVO NORTE;COLOMBIA;EYP;EL YOPAL;EL YOPAL;COLOMBIA;N;T;13;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;SJE;SAN JOSE DEL GUAVIARE- JORGE E GONZ;SAN JOSE DEL GUAVIARE;COLOMBIA;ACR;ARARACUARA;ARARACUARA;COLOMBIA;N;T;12;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;SJE;SAN JOSE DEL GUAVIARE- JORGE E GONZ;SAN JOSE DEL GUAVIARE;COLOMBIA;CRU;CARURU;CARURU;COLOMBIA;N;T;43;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;SJE;SAN JOSE DEL GUAVIARE- JORGE E GONZ;SAN JOSE DEL GUAVIARE;COLOMBIA;LCH;LA CHORRERA - VIRGILIO BARCO VARGAS;LA CHORRERA;COLOMBIA;N;T;4;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;SJE;SAN JOSE DEL GUAVIARE- JORGE E GONZ;SAN JOSE DEL GUAVIARE;COLOMBIA;MFS;MIRAFLORES;MIRAFLORES - GUAVIARE;COLOMBIA;N;T;36;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;SJE;SAN JOSE DEL GUAVIARE- JORGE E GONZ;SAN JOSE DEL GUAVIARE;COLOMBIA;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;N;T;0;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;TAR;TARAIRA;TARAIRA;COLOMBIA;MIT;WACARICUARA;MITU;COLOMBIA;N;T;1;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;ACR;ARARACUARA;ARARACUARA;COLOMBIA;N;T;0;0
